index,cumulative_v_fraction,cumulative_c_fraction,symbol
1,1.000000,0.000000,v
2,0.500000,0.500000,c
3,0.666667,0.333333,v
4,0.500000,0.500000,c
5,0.600000,0.400000,v
6,0.500000,0.500000,c
7,0.571429,0.428571,v
8,0.500000,0.500000,c
9,0.555556,0.444444,v
10,0.500000,0.500000,c
11,0.545455,0.454545,v
12,0.500000,0.500000,c
13,0.538462,0.461538,v
14,0.500000,0.500000,c
15,0.533333,0.466667,v
16,0.500000,0.500000,c
17,0.529412,0.470588,v
18,0.500000,0.500000,c
19,0.473684,0.526316,c
20,0.450000,0.550000,c
21,0.428571,0.571429,c
22,0.409091,0.590909,c
23,0.434783,0.565217,v
24,0.416667,0.583333,c
25,0.400000,0.600000,c
26,0.423077,0.576923,v
27,0.407407,0.592593,c
28,0.428571,0.571429,v
29,0.413793,0.586207,c
30,0.433333,0.566667,v
31,0.419355,0.580645,c
32,0.437500,0.562500,v
33,0.424242,0.575758,c
34,0.441176,0.558824,v
35,0.428571,0.571429,c
36,0.444444,0.555556,v
37,0.432432,0.567568,c
38,0.447368,0.552632,v
39,0.435897,0.564103,c
40,0.450000,0.550000,v
41,0.439024,0.560976,c
42,0.428571,0.571429,c
43,0.441860,0.558140,v
44,0.431818,0.568182,c
45,0.422222,0.577778,c
46,0.434783,0.565217,v
47,0.446809,0.553191,v
48,0.437500,0.562500,c
49,0.448980,0.551020,v
50,0.460000,0.540000,v
51,0.450980,0.549020,c
52,0.461538,0.538462,v
53,0.452830,0.547170,c
54,0.444444,0.555556,c
55,0.454545,0.545455,v
56,0.446429,0.553571,c
57,0.456140,0.543860,v
58,0.448276,0.551724,c
59,0.457627,0.542373,v
60,0.450000,0.550000,c
61,0.459016,0.540984,v
62,0.451613,0.548387,c
63,0.460317,0.539683,v
64,0.453125,0.546875,c
65,0.461538,0.538462,v
66,0.454545,0.545455,c
67,0.462687,0.537313,v
68,0.455882,0.544118,c
69,0.449275,0.550725,c
70,0.457143,0.542857,v
71,0.450704,0.549296,c
72,0.444444,0.555556,c
73,0.438356,0.561644,c
74,0.445946,0.554054,v
75,0.440000,0.560000,c
